datetime,open,high,low,close,volume
2022-03-15,215.17999,230.38,213.22009,229.73,49199568.0
2022-03-16,235.0,245.97,231.72,244.96001,67142176.0
2022-03-17,241.2,248.42,239.06,247.66,47194120.0
2022-03-18,247.99001,265.68991,246.24001,264.53,73071856.0
2022-03-21,265.07001,271.5199,259.67001,267.34,59172708.0
2022-03-22,267.26999,272.38,260.72,265.23999,54700712.0
2022-03-23,261.26001,266.11499,255.75011,256.34,50211984.0
2022-03-24,261.66,283.19989,259.07001,281.5,87737912.0
2022-03-25,278.85999,283.57999,272.70999,276.92001,57901616.0
2022-03-28,277.55499,282.5,272.06,282.19,42549392.0
2022-03-29,286.94501,289.45999,279.79999,286.56,48898440.0
2022-03-30,283.04001,284.95499,275.03,276.89999,46348712.0
2022-03-31,277.82001,282.48001,272.70001,272.85999,52344024.0
2022-04-01,273.75,274.95999,262.67001,267.12,51723512.0
2022-04-04,267.28,275.57999,266.13,273.60001,39770784.0
2022-04-05,272.54001,273.19,258.20001,259.31,43661472.0
2022-04-06,249.34,253.0,240.03,244.07001,70383256.0
2022-04-07,244.41,247.22,234.78,242.08,55799236.0
2022-04-08,239.17,239.23,230.6201,231.19,52478064.0
2022-04-11,222.14,223.1994,216.60001,219.17,57520684.0
2022-04-12,225.37,227.25,212.8204,215.03999,66225808.0
2022-04-13,217.28,225.0,214.55,222.03,51694344.0
2022-04-14,225.05,227.77,211.63,212.58,56909684.0
2022-04-18,212.0,220.88,210.78999,217.83,52570060.0
2022-04-19,217.2,223.73,213.14,221.98,51278056.0
2022-04-20,225.17101,226.7037,212.0,214.82001,46897444.0
2022-04-21,217.09151,223.92,200.0,201.83,65620944.0
2022-04-22,203.03,204.86,195.0,195.14999,62471344.0
2022-04-25,192.02,199.45,190.96001,199.02,64156560.0
2022-04-26,197.17999,197.88,186.7,187.88,65314248.0
2022-04-27,185.98,191.67,182.89999,184.14999,49946016.0
2022-04-28,189.67,200.37,184.89571,197.82001,57032672.0
2022-04-29,194.02,201.28481,185.17,185.47,50043492.0
2022-05-02,185.405,195.74001,183.91,195.33,57204868.0
2022-05-03,194.0,198.25,191.33,196.02,47575084.0
2022-05-04,199.23,204.0,187.50999,203.34,64885464.0
2022-05-05,198.67,199.25,185.0,188.44,62633140.0
2022-05-06,187.36,195.12,179.89999,186.75,63329672.0
2022-05-09,180.34,182.55,168.27,169.5,64445452.0
2022-05-10,176.89,181.98,170.25,175.95,76147432.0
2022-05-11,173.47,177.53,165.67999,166.3,67016704.0
